k,recall,ancestral_recall,reduction_rate,precision
1,0.00572655690765927,0.1,0.9988472622478386,0.01282051282051282
6,0.15604867573371511,0.1,0.992597724081874,0.05440479161467432
11,0.2863278453829635,0.1,0.985956550653957,0.052617732175743226
16,0.37222619899785253,0.1,0.9792932091923446,0.046391292711214206
21,0.4323550465282749,0.1,0.9727296238823616,0.0409158650589351
26,0.47888332140300643,0.1,0.9662177639843346,0.03658336523213212
31,0.5332856120257695,0.1,0.9596320106406562,0.03409298920007322
36,0.56907659269864,0.1,0.9531349294317594,0.031337459103630415
41,0.6034359341445955,0.1,0.9467043523239489,0.02922010398613518
46,0.6385110952040086,0.1,0.9402257444764649,0.0275674506289211
51,0.6628489620615605,0.1,0.9337840833518067,0.02583417029349403
56,0.6850393700787402,0.1,0.9274218576812236,0.024358582773365913
61,0.7029348604151754,0.1,0.920983891228848,0.022958408341710892
66,0.721546170365068,0.1,0.9146438335919604,0.02181582079861487
71,0.7387258410880458,0.1,0.9083499593586049,0.02080141901152947
76,0.7580529706513959,0.1,0.9021041158649228,0.019983771441511144
81,0.7709377236936292,0.1,0.8958065469592847,0.019095067550796072
86,0.780959198282033,0.1,0.8895015887090815,0.018239572013708936
91,0.7931281317108089,0.1,0.8833499593586049,0.017546915828648348
96,0.8052970651395849,0.1,0.8771872459912806,0.01692212812683323
101,0.8131710808876164,0.1,0.8710467006576517,0.016273905880667575
106,0.8224767358625626,0.1,0.8649246286854356,0.015714109875682107
111,0.8346456692913385,0.1,0.8589041602009901,0.015266176124014768
116,0.8468146027201146,0.1,0.852885539052686,0.01485509066251444
121,0.8525411596277738,0.1,0.8467985664671543,0.014361336532780263
126,0.8554044380816035,0.1,0.8408316707308062,0.013869384060073583
131,0.8611309949892627,0.1,0.834800118229513,0.01345246348936551
136,0.870436649964209,0.1,0.8287537870390896,0.013117725110303239
141,0.8754473872584109,0.1,0.8227758072858937,0.01274821493719706
146,0.8833214030064424,0.1,0.8167534914653071,0.012440143152376631
151,0.886184681460272,0.1,0.8108438631493387,0.012090552180791843
156,0.8919112383679313,0.1,0.8050155176235868,0.011804943675449318
161,0.8976377952755905,0.1,0.7991890194339762,0.011536020165036843
166,0.9005010737294202,0.1,0.793273849109584,0.0112416782091953
171,0.9040801717967072,0.1,0.7873309687430725,0.010970969927555115
176,0.9105225483178239,0.1,0.78140101972955,0.010749416894838252
181,0.917680744452398,0.1,0.7755597428508091,0.010551961413732365
186,0.9234073013600572,0.1,0.7697517180226114,0.010349973523323544
191,0.9269863994273443,0.1,0.7639547772112614,0.010134923616328576
196,0.9312813171080888,0.1,0.7581338210300747,0.009936835030207673
201,0.9348604151753758,0.1,0.7522906968151925,0.009739727048996942
206,0.9362920544022906,0.1,0.7464660459617232,0.009530540719745269
211,0.937007874015748,0.1,0.7406727998226558,0.009324756551905912
216,0.9377236936292055,0.1,0.7349552944653809,0.00913057418068779
221,0.9398711524695776,0.1,0.7292100790659869,0.00895732139933417
226,0.9420186113099499,0.1,0.7233780388679524,0.008788508157418476
231,0.9441660701503222,0.1,0.7177196482671987,0.008631972985000392
236,0.9463135289906943,0.1,0.711937486144979,0.008477945797581028
241,0.9520400858983536,0.1,0.7061442400059115,0.008361098887282328
246,0.9534717251252685,0.1,0.7004211926402129,0.00821370430664496
251,0.9556191839656406,0.1,0.6947277026527747,0.008078668683812405
256,0.9556191839656406,0.1,0.6891007167664228,0.007932452345866805
261,0.9570508231925555,0.1,0.6834016847705608,0.007801331536167954
266,0.9584824624194703,0.1,0.6777211261361117,0.007675287751639382
271,0.9606299212598425,0.1,0.6720738195522057,0.0075600096894311965
276,0.9627773801002147,0.1,0.6664061922707456,0.007448181148625824
281,0.9656406585540444,0.1,0.6608216951156433,0.007347334480730268
286,0.9663564781675018,0.1,0.6552187245991281,0.007233292433976114
291,0.968503937007874,0.1,0.6496527008054386,0.0071341945689427895
