k,recall,ancestral_recall,reduction_rate,precision
1,0.0,0.1,0.9962688105545249,0.0
6,0.008445945945945946,0.1,0.9794475365903937,0.0025075225677031092
11,0.02195945945945946,0.1,0.9629354772211915,0.003615127919911012
16,0.03209459459459459,0.1,0.9472376829519686,0.003711662434069154
21,0.04054054054054054,0.1,0.9308802308802309,0.003578884580972264
26,0.04560810810810811,0.1,0.9143681715110287,0.0032498796340876264
31,0.052364864864864864,0.1,0.8988662131519274,0.0031593966571545045
36,0.06756756756756757,0.1,0.8838383838383839,0.00354924578527063
41,0.07601351351351351,0.1,0.8693052978767265,0.003548895899053628
46,0.09797297297297297,0.1,0.856091527520099,0.004154132645752757
51,0.10641891891891891,0.1,0.8419088847660277,0.004107445560046942
56,0.11993243243243243,0.1,0.8280663780663781,0.0042563395479887295
61,0.14358108108108109,0.1,0.8137394351680066,0.004703668861712135
66,0.15878378378378377,0.1,0.798814677386106,0.004815820482606691
71,0.18074324324324326,0.1,0.784364048649763,0.0051144782754170455
76,0.19594594594594594,0.1,0.769501133786848,0.005187139471448375
81,0.21621621621621623,0.1,0.7552360338074624,0.005390154545837369
86,0.23986486486486486,0.1,0.7403937332508761,0.005637829038789852
91,0.2483108108108108,0.1,0.7250773036487322,0.005511191092115623
96,0.2702702702702703,0.1,0.7103174603174603,0.005692937199786515
101,0.28040540540540543,0.1,0.6963306534735106,0.005634376484963682
106,0.30067567567567566,0.1,0.6816120387548958,0.005762382648106183
111,0.3108108108108108,0.1,0.6670171098742528,0.005695536432860769
116,0.33614864864864863,0.1,0.6523088023088023,0.005899267779325883
121,0.35135135135135137,0.1,0.6366316223459081,0.0059000397118057525
126,0.36317567567567566,0.1,0.6216450216450217,0.005857033889070502
131,0.38344594594594594,0.1,0.607452071737786,0.0059603518445582255
136,0.3969594594594595,0.1,0.594011544011544,0.0059661326766356085
141,0.40371621621621623,0.1,0.5798082869511441,0.00586258493389261
146,0.4189189189189189,0.1,0.56573902288188,0.005886262223488085
151,0.4358108108108108,0.1,0.5517316017316017,0.0059322618472787475
156,0.4527027027027027,0.1,0.5387136672850958,0.005988291549358716
161,0.46452702702702703,0.1,0.5254689754689754,0.005973196637633311
166,0.4797297297297297,0.1,0.5118326118326119,0.005996368396604873
171,0.48986486486486486,0.1,0.49914450628736345,0.005967937768814438
176,0.5,0.1,0.4871572871572872,0.005949031272610338
181,0.5236486486486487,0.1,0.4727994227994228,0.006060724549844572
186,0.5371621621621622,0.1,0.4590393733250876,0.006058989406295252
191,0.5489864864864865,0.1,0.4455679241393527,0.006041902920562919
196,0.5540540540540541,0.1,0.4335703978561121,0.005968519697934674
201,0.5692567567567568,0.1,0.42065553494124924,0.005995587816680899
206,0.5827702702702703,0.1,0.4075757575757576,0.006002400960384154
211,0.5996621621621622,0.1,0.39445475159760873,0.006042553191489362
216,0.6114864864864865,0.1,0.3813646670789528,0.00603132289236921
221,0.6216216216216216,0.1,0.3691919191919192,0.0060129736442214995
226,0.6283783783783784,0.1,0.3564625850340136,0.005958101095521814
231,0.652027027027027,0.1,0.3438775510204082,0.006063747898895644
236,0.6773648648648649,0.1,0.3313234384662956,0.00618111753371869
241,0.6875,0.1,0.31943929086786227,0.00616405161446659
246,0.7111486486486487,0.1,0.3077922077922078,0.006268798951725781
251,0.722972972972973,0.1,0.29587713873428156,0.0062651872237023155
256,0.7331081081081081,0.1,0.28453927025355596,0.006252341026305933
261,0.7449324324324325,0.1,0.2733766233766234,0.006255585344057194
266,0.7584459459459459,0.1,0.2627293341579056,0.006277086537117294
271,0.7702702702702703,0.1,0.25118532261389404,0.006276668960770819
276,0.7804054054054054,0.1,0.2406617192331478,0.006271124323003624
281,0.7888513513513513,0.1,0.2298495155638013,0.00625
286,0.7972972972972973,0.1,0.21930529787672645,0.006231598959639835
291,0.8040540540540541,0.1,0.20897753040610184,0.006202358459834517
296,0.8091216216216216,0.1,0.19879406307977737,0.006162119048537944
301,0.8209459459459459,0.1,0.18956916099773244,0.006181004222414407
